BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,TRX,DOT,LINK,BCH,NEAR,MATIC,UNI,LTC,PEPE,DAI,ICP,ETC,APT,RNDR,STX,HBAR,XMR,FIL,ATOM,INJ,XLM,IMX,ARB,FDUSD,WIF,GRT,TAO,SUI,OP,VET,AR,FLOKI,MKR
44179.55,2352.04,313.5,109.91,0.9999,0.6294,0.09199,0.6232,1.068e-05,41.94,0.10772,8.595,15.548,267.8,3.794,1.0157,7.6,74.72,1.41e-06,,12.936,22.5,9.9369,4.74,1.5913,0.0915,169.5,7.569,11.201,39.733,0.132,2.2811,1.7345,0.9999,,0.2175,,0.8438,3.99,0.03655,10.158,3.664e-05,1652.0
44946.91,2355.34,312.2,106.73,0.9997,0.6246,0.0911,0.605,1.056e-05,40.61,0.10834,8.411,15.166,257.1,3.923,0.9691,7.175,72.97,1.34e-06,,13.967,21.97,10.2556,4.655,1.545,0.097,167.4,7.174,10.963,37.062,0.1291,2.285,1.7701,0.9987,,0.2073,,0.9062,3.711,0.03499,9.917,3.549e-05,1830.0
42845.23,2209.72,315.8,98.52,0.9995,0.5823,0.08201,0.5569,9.57e-06,36.8,0.10675,7.626,14.148,234.0,3.771,0.8539,6.433,65.24,1.18e-06,,14.398,20.03,9.0578,4.423,1.5539,0.0883,154.1,6.288,9.922,34.169,0.1205,2.0971,1.9137,0.9992,,0.1894,,0.8437,3.475,0.03209,8.708,3.144e-05,1806.0
44151.1,2267.11,323.7,104.91,0.9991,0.5868,0.08401,0.5699,9.99e-06,38.72,0.10696,7.879,14.526,239.5,3.91,0.883,6.53,66.41,1.25e-06,,13.864,20.47,10.3176,4.375,1.7181,0.0879,164.8,6.495,10.268,38.389,0.1216,2.2021,2.004,1.0008,,0.1987,,0.8535,3.714,0.03274,9.166,3.241e-05,1776.0
44145.11,2268.78,317.5,99.94,0.9993,0.5757,0.08267,0.5414,9.81e-06,36.46,0.10438,7.45,14.091,239.3,3.552,0.8525,6.434,66.0,1.19e-06,,13.306,20.13,9.6409,4.012,1.6099,0.0847,155.8,6.153,10.328,38.508,0.1191,2.0538,1.952,1.0007,,0.1846,,0.8999,3.444,0.03114,9.0,3.176e-05,1741.0
43968.32,2240.78,307.5,93.77,0.9995,0.5679,0.08058,0.5227,9.61e-06,34.61,0.10387,7.133,13.436,236.1,3.479,0.8281,6.308,65.64,1.15e-06,,12.007,19.88,9.048,3.815,1.5713,0.0795,152.6,5.894,9.829,40.0,0.12,2.0019,1.7519,1.0006,,0.1719,,0.8316,3.225,0.02978,8.576,3.109e-05,1700.0
43929.02,2221.42,302.4,89.44,0.9994,0.5515,0.07824,0.4945,9.02e-06,33.64,0.1028,6.899,13.151,232.5,3.215,0.8011,6.004,64.27,1.12e-06,,11.276,19.27,8.4746,3.635,1.6657,0.0752,146.1,5.623,9.41,36.466,0.1152,1.9013,1.7218,0.9994,,0.1635,,0.8002,3.171,0.02867,8.058,2.918e-05,1752.0
46951.04,2330.44,303.7,97.88,0.9992,0.5776,0.0813,0.5412,9.58e-06,36.08,0.1042,7.483,14.139,253.9,3.416,0.8416,6.24,67.73,1.19e-06,,13.712,20.32,8.808,4.058,2.0241,0.0814,147.8,5.856,9.95,42.251,0.1195,2.0189,1.8213,0.9979,,0.1717,,0.8599,3.414,0.03114,8.657,3.051e-05,1818.0
46110.0,2344.29,301.1,99.36,0.9998,0.5669,0.07923,0.5124,9.67e-06,34.65,0.10277,7.129,13.716,244.8,3.222,0.8066,6.011,66.99,1.2e-06,,12.742,21.22,8.2828,3.86,1.8266,0.0775,144.4,5.491,9.666,39.803,0.1165,1.9058,1.8438,0.9984,,0.1604,,0.7983,3.641,0.03001,8.091,2.912e-05,1847.0
46653.99,2584.38,305.8,102.0,0.9997,0.6008,0.08307,0.566,9.98e-06,38.53,0.10524,7.991,15.072,254.7,3.603,0.8992,6.568,70.1,1.33e-06,,13.899,26.41,8.8857,4.234,1.8478,0.0834,149.0,5.942,10.385,41.02,0.1208,2.1394,2.2281,0.9985,,0.1778,,0.842,3.932,0.03268,9.219,3.155e-05,2038.0
