BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,LINK,DOT,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,IMX,WIF,ATOM,FIL,ARB,XLM,STX,AR,XMR,GRT,FLOKI,FDUSD,TAO,OP,SUI,NOT,VET,MKR
16616.75,1200.34,244.4,9.99,,0.3387,0.07024,0.2499,8.12e-06,10.87,5.628,4.371,0.05481,96.8,1.276,0.7603,5.248,70.91,,4.021,,15.79,0.404,3.5214,0.0381,0.385,,9.462,3.108,,0.0726,0.213,6.37,148.5,0.0566,,,,0.924,,,0.01605,514.0
16672.87,1214.0,245.2,11.28,,0.3482,0.0714,0.2538,8.19e-06,11.16,5.691,4.492,0.05517,99.3,1.314,0.7809,5.371,74.74,,4.013,,16.12,0.412,3.7598,0.0389,0.399,,9.818,3.151,,0.0737,0.216,6.65,147.8,0.0595,,,,0.958,,,0.01616,512.0
16675.18,1214.55,246.1,13.37,,0.3436,0.07049,0.2529,8.15e-06,11.38,5.621,4.526,0.05483,99.6,1.335,0.7798,5.379,75.57,,3.914,,15.89,0.41,3.8219,0.0382,0.395,,10.157,3.091,,0.0736,0.216,6.69,148.4,0.0601,,,,0.957,,,0.01609,505.0
16850.36,1256.9,258.9,13.43,,0.3472,0.07311,0.2678,8.37e-06,12.08,5.809,4.632,0.05477,101.5,1.55,0.8068,5.532,75.46,,3.945,,19.2,0.414,3.8128,0.0385,0.413,,10.196,3.357,,0.0738,0.22,6.95,150.9,0.0611,,,,1.03,,,0.0166,519.0
16831.85,1251.24,256.7,13.43,,0.338,0.07152,0.2692,8.36e-06,11.74,5.66,4.62,0.05374,101.2,1.524,0.789,5.377,74.25,,3.817,,18.23,0.417,3.7097,0.0384,0.409,,10.085,3.287,,0.0729,0.217,6.62,156.1,0.0607,,,,1.024,,,0.01624,527.0
16950.65,1269.14,259.9,13.5,,0.3443,0.07241,0.2786,8.44e-06,11.78,5.712,4.684,0.05249,101.7,1.591,0.7992,5.52,75.91,,3.902,,20.43,0.419,3.858,0.0392,0.423,,10.251,3.339,,0.0751,0.218,6.87,154.8,0.0621,,,,1.085,,,0.01642,540.0
16943.57,1264.07,261.3,13.1,,0.3442,0.07219,0.2768,8.42e-06,11.75,5.83,4.664,0.05201,101.4,1.56,0.8063,5.414,76.4,,4.014,,20.03,0.41,3.8329,0.0396,0.421,,10.196,3.299,,0.0756,0.219,6.92,155.9,0.0641,,,,1.095,,,0.01637,553.0
17127.83,1290.16,274.9,14.45,,0.3452,0.07363,0.2974,8.65e-06,12.09,5.963,4.826,0.05439,103.7,1.647,0.8407,5.58,78.68,,4.115,,20.39,0.436,3.932,0.0418,0.451,,10.549,3.447,,0.0773,0.227,7.28,155.3,0.0698,,,,1.263,,,0.0171,593.0
17178.26,1320.39,272.6,16.25,,0.349,0.07566,0.3168,8.68e-06,12.19,6.065,4.887,0.05461,106.9,1.642,0.8426,5.79,81.62,,4.246,,20.12,0.448,5.2121,0.0444,0.476,,11.112,3.774,,0.0794,0.23,7.54,158.7,0.0707,,,,1.252,,,0.01747,615.0
17440.66,1335.62,277.1,16.2,,0.3507,0.07782,0.3222,9.27e-06,12.73,6.166,4.92,0.05486,107.4,1.644,0.8585,5.781,80.83,,4.32,,20.23,0.453,5.4872,0.0445,0.495,,11.327,3.757,,0.0796,0.236,7.56,161.2,0.0729,,,,1.266,,,0.01817,631.0
17943.26,1389.39,284.8,16.36,,0.3728,0.07814,0.323,9.13e-06,15.86,6.284,5.135,0.05652,109.9,1.82,0.8914,5.919,84.08,,4.342,,20.52,0.452,5.295,0.0458,0.491,,11.856,3.732,,0.0814,0.238,7.76,168.7,0.0722,,,,1.281,,,0.01839,637.0
18846.62,1415.92,287.7,16.59,,0.3748,0.08025,0.3293,9.47e-06,15.43,6.387,5.232,0.0571,119.7,1.831,0.9152,6.181,86.09,,4.51,,20.88,0.456,6.4591,0.0476,0.537,,12.273,3.852,,0.0816,0.247,7.92,166.6,0.0733,,,,1.39,,,0.01884,652.0
19930.01,1451.2,293.7,18.29,,0.3858,0.0845,0.3456,1.02e-05,15.96,6.605,5.401,0.0601,124.6,1.956,0.9304,6.307,86.23,,4.605,,21.62,0.542,6.8115,0.0505,0.542,,12.406,4.018,,0.0846,0.255,8.35,170.6,0.0766,,,,1.594,,,0.02012,690.0
