Names,Min Weight,Max Weight
BTC,0.063,0.0
BNB,0.024,0.0
SOL,0.029,0.0
XRP,0.032,0.0
DOGE,0.038,0.0
ADA,0.028,0.0
SHIB,0.0,0.0
AVAX,0.008,0.0
LINK,0.013,0.0
DOT,0.02,0.0
TRX,0.015,0.0
BCH,0.0,0.0
NEAR,0.0,0.0
MATIC,0.047,0.0
UNI,0.049,0.0
LTC,0.03,0.0
PEPE,0.058,0.0
ICP,0.006,0.0
DAI,0.001,0.0
ETC,0.105,0.0
RNDR,0.0,0.0
APT,0.0,0.0
HBAR,0.024,0.0
IMX,0.039,0.0
WIF,0.001,0.0
ATOM,0.013,0.0
FIL,0.027,0.0
ARB,0.09,0.0
XLM,0.021,0.0
STX,0.02,0.0
AR,0.007,0.0
XMR,0.0,0.0
GRT,0.018,0.0
FLOKI,0.0,0.926
TAO,0.0,0.0
OP,0.09,0.0
SUI,0.0,0.0
NOT,0.0,0.074
VET,0.028,0.0
MKR,0.056,0.0
